35.0,22.0,36.0,6.0,2022-11-26 00:06:02.548623
35.0,22.0,36.0,6.0,2022-11-26 00:06:18.982330
35.0,22.0,36.0,6.0,2022-11-26 00:06:27.819657
35.0,22.0,36.0,6.0,2022-11-26 00:06:44.246312
35.0,22.0,36.0,6.0,2022-11-26 00:07:00.670326
35.0,22.0,36.0,6.0,2022-11-26 00:07:22.152510
35.0,22.0,36.0,6.0,2022-11-26 00:07:33.517350
35.0,22.0,36.0,6.0,2022-11-26 00:07:44.885432
35.0,22.0,36.0,6.0,2022-11-26 00:07:58.784702
35.0,22.0,36.0,6.0,2022-11-26 00:08:15.208832
35.0,22.0,36.0,6.0,2022-11-26 00:08:39.223600
35.0,22.0,36.0,6.0,2022-11-26 00:08:53.123558
35.0,22.0,36.0,6.0,2022-11-26 00:09:01.960983
35.0,22.0,36.0,6.0,2022-11-26 00:09:13.325760
35.0,22.0,36.0,6.0,2022-11-26 00:09:22.163128
35.0,22.0,36.0,6.0,2022-11-26 00:09:30.999850
35.0,22.0,36.0,6.0,2022-11-26 00:09:44.898448
35.0,22.0,36.0,6.0,2022-11-26 00:09:56.268157
35.0,22.0,36.0,6.0,2022-11-26 00:10:05.105907
35.0,22.0,36.0,6.0,2022-11-26 00:10:13.942234
35.0,22.0,36.0,6.0,2022-11-26 00:10:20.250803
35.0,22.0,36.0,6.0,2022-11-26 00:10:29.087744
35.0,22.0,36.0,6.0,2022-11-26 00:10:35.395953
35.0,22.0,36.0,6.0,2022-11-26 00:10:49.296952
35.0,22.0,36.0,6.0,2022-11-26 00:10:58.139652
35.0,22.0,36.0,6.0,2022-11-26 00:11:09.509129
35.0,22.0,36.0,6.0,2022-11-26 00:11:18.345909
35.0,22.0,36.0,6.0,2022-11-26 00:11:27.185301
35.0,22.0,36.0,6.0,2022-11-26 00:11:41.077709
35.0,22.0,36.0,6.0,2022-11-26 00:11:49.920804
35.0,22.0,36.0,6.0,2022-11-26 00:12:01.289213
35.0,22.0,36.0,6.0,2022-11-26 00:12:17.716914
35.0,22.0,36.0,6.0,2022-11-26 00:12:26.553143
35.0,22.0,36.0,6.0,2022-11-26 00:12:37.923449
35.0,22.0,36.0,6.0,2022-11-26 00:12:46.760579
35.0,22.0,36.0,6.0,2022-11-26 00:12:53.069808
35.0,21.0,36.0,6.0,2022-11-26 00:13:06.967889
35.0,21.0,36.0,6.0,2022-11-26 00:13:20.864250
35.0,21.0,36.0,6.0,2022-11-26 00:13:29.700881
35.0,21.0,36.0,6.0,2022-11-26 00:13:41.071936
35.0,21.0,36.0,6.0,2022-11-26 00:13:49.908563
35.0,21.0,36.0,6.0,2022-11-26 00:13:56.216378
35.0,21.0,36.0,6.0,2022-11-26 00:14:07.584469
35.0,21.0,36.0,6.0,2022-11-26 00:14:13.892261
35.0,21.0,36.0,6.0,2022-11-26 00:14:30.314844
35.0,21.0,36.0,6.0,2022-11-26 00:14:41.681577
35.0,21.0,36.0,6.0,2022-11-26 00:14:58.106257
35.0,21.0,36.0,6.0,2022-11-26 00:15:12.008191
35.0,21.0,36.0,6.0,2022-11-26 00:15:23.373940
35.0,21.0,36.0,6.0,2022-11-26 00:15:37.277115
35.0,21.0,36.0,6.0,2022-11-26 00:15:46.117997
35.0,21.0,36.0,6.0,2022-11-26 00:16:02.547889
35.0,21.0,36.0,6.0,2022-11-26 00:16:11.390178
35.0,21.0,36.0,6.0,2022-11-26 00:16:22.756816
35.0,21.0,36.0,6.0,2022-11-26 00:16:36.653816
35.0,21.0,36.0,6.0,2022-11-26 00:16:48.019711
35.0,21.0,36.0,6.0,2022-11-26 00:17:12.031536
35.0,21.0,36.0,6.0,2022-11-26 00:17:25.930711
35.0,21.0,36.0,6.0,2022-11-26 00:17:37.296385
35.0,21.0,36.0,6.0,2022-11-26 00:17:46.134381
35.0,21.0,36.0,6.0,2022-11-26 00:18:00.030941
35.0,21.0,36.0,6.0,2022-11-26 00:18:16.462781
35.0,21.0,36.0,6.0,2022-11-26 00:18:30.358206
35.0,21.0,36.0,6.0,2022-11-26 00:18:49.316951
35.0,21.0,36.0,6.0,2022-11-26 00:19:05.743439
35.0,21.0,36.0,6.0,2022-11-26 00:19:17.108701
35.0,21.0,36.0,6.0,2022-11-26 00:19:31.005526
35.0,21.0,36.0,6.0,2022-11-26 00:19:39.841556
35.0,21.0,36.0,6.0,2022-11-26 00:19:46.149361
35.0,21.0,36.0,6.0,2022-11-26 00:19:54.987892
35.0,21.0,36.0,6.0,2022-11-26 00:20:03.823206
35.0,21.0,36.0,6.0,2022-11-26 00:20:17.720294
36.0,21.0,36.0,6.0,2022-11-26 00:20:34.144674
36.0,21.0,36.0,6.0,2022-11-26 00:20:40.452482
36.0,21.0,36.0,6.0,2022-11-26 00:20:49.287854
36.0,21.0,36.0,6.0,2022-11-26 00:21:00.658555
